"id","sdName","sdCode"
"179","CAPITAL","010"
"180","ZOO ROAD","017"
"181","KALAPAHAR","002"
"182","NARENGI","015"
"183","CHANDMARI","014"
"184","UZANBAZAR","016"
"185","ULUBARI","005"
"186","PALTANBAZAR","004"
"187","FATASIL","003"
"188","FANCY BAZAR","001"
"189","BASISTHA","009"
"190","GARBHANGA","011"
"191","SONAPUR","013"
"192","GUWAHATI IRCA - I","006"
"193","JALUKBARI","023"
"194","HAJO","022"
"195","AMINGAON","021"
"196","SUALKUCHI","024"
"197","AZARA","030"
"198","MIRZA","029"
"199","CHAYGAON","028"
"200","BOKO","027"
"201","GUWAHATI IRCA - II","025"
"202","MANGALDOI","084"
"203","SIPAJHAR","085"
"204","KHARUPETIA","083"
"205","UDALGURI","090"
"206","TANGLA","089"
"207","MAJBAT","088"
"208","KALAIGAON","091"
"209","MANGOLDOI  IRCA","086"
"210","RANGIA - I","077"
"211","RANGIA - II","078"
"212","TAMULPUR","079"
"213","BAIHATA","076"
"214","NALBARI - I","065"
"215","NALBARI - II","066"
"216","CHAMATA","064"
"217","RANGIA IRCA","080"
"218","BARPETA","059"
"219","BARPETA ROAD","058"
"220","SARBHOG","060"
"221","SARTHEBARI","061"
"222","PATHSALA","071"
"223","BARAMA","070"
"224","TIHU","072"
"225","BARPETA IRCA","063"
"226","BONGAIGAON - I","034"
"227","BONGAIGAON - II","035"
"228","BIJNI","033"
"229","ABHAYAPURI","032"
"230","GOALPARA","040"
"231","DUDHNOI","039"
"232","DHUPDHARA","038"
"233","LAKHIPUR","041"
"234","MANKACHAR","042"
"235","BONGAIGAON IRCA","037"
"236","KOKRAJHAR","055"
"237","BASUGAON","051"
"238","FAKIRAGRAM","053"
"239","GOSSAIGAON","054"
"240","CHAPAR","052"
"241","DHUBRI","046"
"242","GAURIPUR","047"
"243","BILASIPARA","045"
"244","GOLOKGANJ","048"
"245","AGOMANI","044"
"246","KOKRAJHAR IRCA","057"
"247","NAGAON - I","122"
"248","NAGAON - II","123"
"249","NAGAON - III","124"
"250","KATHIATOLI","120"
"251","HOJAI","119"
"252","LANKA","121"
"253","KALIABOR","127"
"254","SAMAGURI","129"
"255","DHING","126"
"256","RAHA","130"
"257","NAGAON IRCA","125"
"258","MORIGAON","114"
"259","LAHARIGHAT","115"
"260","CHARAIBAHI","112"
"261","JHARGAON","113"
"262","JAGIROAD","116"
"263","TEZPUR - I","093"
"264","TEZPUR - II","094"
"265","BALIPARA","096"
"266","RANGAPARA","095"
"267","CHARIALI","105"
"268","SOOTEA","108"
"269","GOHPUR","106"
"270","JAMUGURI","107"
"271","DHEKIAJULI - I","100"
"272","DHEKIAJULI - II","101"
"273","TEZPUR IRCA","099"
"274","NORTH LAKHIMPUR","227"
"275","BIHPURIA","228"
"276","NOWBOICHA","229"
"277","DHEMAJI","231"
"278","DHAKUAKHANA","232"
"279","GHILAMARA","233"
"280","GOGAMUKH CSC","234"
"281","CHILAPATHAR","236"
"282","JONAI","237"
"283","NORTH LAKHIMPUR IRCA","230"
"284","DIPHU - I","153"
"285","DIPHU - II","154"
"286","LUMDING","155"
"287","BOKAJAN","156"
"288","KANCH IRCA","158"
"289","HOWRAGHAT","160"
"290","DONKAMOKAM","159"
"291","HAMREN","162"
"292","KHERONI","161"
"293","HAFLONG","164"
"294","MAHUR","165"
"295","UMRANGSU","167"
"296","MAIBONG","166"
"297","SILCHAR - I","147"
"298","SILCHAR - II","148"
"299","SILCHAR - III","151"
"300","SONAI","149"
"301","UDHARBAND","150"
"302","LAKHIPUR","146"
"303","KALAIN","133"
"304","KARIMGANJ","140"
"305","NILAMBAZAR","142"
"306","BADARPUR","138"
"307","LOWAIRPOA","141"
"308","PATHARKANDI","143"
"309","HAILAKANDI","132"
"310","LALA","134"
"311","DULLAVCHERRA","139"
"312","R.K. NAGAR","135"
"313","BADARPURGHAT IRCA","144"
"314","JORHAT - I","170"
"315","JORHAT - II","171"
"316","JORHAT - III","173"
"317","DERGAON","172"
"318","MARIANI","177"
"319","TITABOR","176"
"320","MAJULI","178"
"321","TEOK","188"
"322","KAKOJAN","189"
"323","JORHAT IRCA","175"
"324","GOLAGHAT - I","181"
"325","GOLAGHAT - II","185"
"326","SARUPATHAR","184"
"327","BOKAKHAT","182"
"328","KAMARGAON","183"
"329","SIVASAGAR - I","192"
"330","SIVASAGAR - II","193"
"331","GAURISAGAR","194"
"332","NAZIRA","198"
"333","AMGURI","199"
"334","CHARAIDEO","200"
"335","MORAN","201"
"336","DEMOW","195"
"337","SIVASAGAR IRCA","196"
"338","DIBRUGARH - I","207"
"339","DIBRUGARH - II","208"
"340","DIBRUGARH - III","209"
"341","BORDUBI","220"
"342","NAMRUP","221"
"343","TINGKHONG","204"
"344","NAHARKATIA","219"
"345","DIBRUGARH IRCA","210"
"346","TINSUKIA - I","224"
"347","TINSUKIA - II","299"
"348","TINSUKIA - III","217"
"349","DIGBOI","212"
"350","MARGHERITA","214"
"351","DOOMDOOMA","213"
"352","CHAPAKHOWA","218"
"353","TINSUKIA IRCA","226"
"354","SAPATGRAM","056"
"355","BOITHALANGSHU","163"
